x1[u meter],x2[u meter],A,alfa,D,D.C,frequency[Hz],velocity[cm\s]
0.8,0.7,0.5,-1,{'10^-5': 2e-05},0.35,200000,0.276600486
0.8,0.8,0.5,-1,{'10^-5': 2e-05},0.35,200000,1.007099373
0.8,0.9,0.5,-1,{'10^-5': 2e-05},0.35,200000,1.548452762
0.9,0.1,0.5,-1,{'10^-5': 2e-05},0.35,200000,-0.785258866
0.9,0.2,0.5,-1,{'10^-5': 2e-05},0.35,200000,-0.362066346
0.9,0.3,0.5,-1,{'10^-5': 2e-05},0.35,200000,-0.095268827
0.9,0.4,0.5,-1,{'10^-5': 2e-05},0.35,200000,0.02854524
0.9,0.5,0.5,-1,{'10^-5': 2e-05},0.35,200000,0.035884112
0.9,0.6,0.5,-1,{'10^-5': 2e-05},0.35,200000,0.046579943
0.9,0.7,0.5,-1,{'10^-5': 2e-05},0.35,200000,0.087972571
0.9,0.8,0.5,-1,{'10^-5': 2e-05},0.35,200000,0.347269631
0.9,0.9,0.5,-1,{'10^-5': 2e-05},0.35,200000,0.985479303
0.1,0.1,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,0.853778407
0.1,0.2,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,1.208602096
0.1,0.3,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,1.373891736
0.1,0.4,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,1.268704622
0.1,0.5,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,1.210300767
0.1,0.6,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,1.102580833
0.1,0.7,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,1.020462918
0.1,0.8,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,1.027220845
0.1,0.9,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,0.88221996
0.2,0.1,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,unstable
0.2,0.2,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,0.792839533
0.2,0.3,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,1.188576536
0.2,0.4,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,1.350195593
0.2,0.5,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,1.249419292
0.2,0.6,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,1.066484813
0.2,0.7,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,0.926531348
0.2,0.8,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,0.826853581
0.2,0.9,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,0.678100111
0.3,0.1,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,unstable
0.3,0.2,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,unstable
0.3,0.3,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,0.587310127
0.3,0.4,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,0.971129276
0.3,0.5,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,0.921702286
0.3,0.6,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,0.745313245
0.3,0.7,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,0.662335621
0.3,0.8,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,0.52240296
0.3,0.9,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,0.311069087
0.4,0.1,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,unstable
0.4,0.2,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,unstable
0.4,0.3,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,unstable
0.4,0.4,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,0.266568401
0.4,0.5,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,0.504508947
0.4,0.6,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,0.44391361
0.4,0.7,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,unstable
0.4,0.8,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,0.28610498
